producto_id,nombre_producto,categoria,fecha_caducidad,stock_actual,precio_unitario,sales_ultimos_7d,ventas_promedio_diaria,dias_hasta_caducidad,proveedor,en_promocion,precio_promocion,fecha_ultima_venta,temperatura_almacen,humedad_almacen,categoria_riesgo
PRD1012,Refresco Naranja 330ml,bebidas,2025-08-21,220,1.2,130,18.6,19,Bebidas Refrescantes,False,,2025-07-31,4.0,65.0,bajo
PRD1013,Queso Gouda 200g,lacteos,2025-08-19,90,2.8,35,5.0,17,Lacteos La Central,False,,2025-07-30,4.0,78.0,bajo
PRD1014,Carne Picada 500g,carnes,2025-08-17,55,6.0,20,2.9,15,Carne Rica,False,,2025-07-29,1.0,58.0,alto
PRD1015,Pan Baguette 250g,panaderia,2025-08-06,160,1.5,75,10.7,4,Panaderia La Dulce,False,,2025-07-30,22.0,60.0,bajo
PRD1016,Cerveza Lager 330ml,bebidas,2025-08-23,250,1.8,140,20.0,21,Bebidas Refrescantes,False,,2025-07-30,4.0,65.0,bajo
PRD1017,Yogurt con Frutas 150g,lacteos,2025-08-11,110,1.1,45,6.4,9,Lacteos La Central,False,,2025-07-31,4.0,78.0,bajo
PRD1018,Jamon York 150g,carnes,2025-08-10,65,3.8,19,2.7,8,Delicias Ibéricas,False,,2025-07-30,0.0,52.0,alto
PRD1019,Agua con Gas 500ml,bebidas,2025-08-25,320,0.85,160,22.9,23,Bebidas Refrescantes,False,,2025-07-30,5.0,50.0,bajo
PRD001,Manzanas Fuji,frutas,2025-08-20,120,1.2,75,10.7,18,Frutas del Valle,False,,2025-08-01,4.0,65.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-15,85,0.95,60,8.6,13,Lacteos Santamaria,True,0.85,2025-07-30,4.5,75.0,bajo
PRD003,Yogurt Natural 150g,lacteos,2025-08-10,200,0.5,150,21.4,8,DairyFarm,False,,2025-07-29,4.0,80.0,bajo
PRD004,Broccoli Fresco,verduras,2025-08-18,60,2.3,35,5.0,16,Verduras Orgánicas,False,,2025-07-31,2.0,70.0,medio
PRD005,Pechuga de Pollo 1kg,carnes,2025-08-12,40,5.5,20,2.9,10,Carnes del Valle,True,5.0,2025-07-30,1.5,60.0,alto
PRD006,Pan Integral 500g,panaderia,2025-08-04,150,1.1,130,18.6,2,Panaderia La Huerta,False,,2025-08-01,22.0,55.0,bajo
PRD007,Jugo de Naranja 1L,bebidas,2025-08-25,70,2.0,55,7.9,23,Jugos del Sol,False,,2025-07-27,8.0,85.0,bajo
PRD008,Zanahorias 1kg,verduras,2025-08-19,100,1.5,60,8.6,17,Verduras La Huerta,True,1.3,2025-07-29,2.0,68.0,medio
PRD009,Queso Cheddar 200g,lacteos,2025-08-11,55,3.2,25,3.6,9,Quesos del Valle,False,,2025-07-28,4.0,70.0,bajo
PRD010,Bebida Energizante 330ml,bebidas,2025-09-05,90,2.5,45,6.4,34,EnergíaVital,False,,2025-07-26,10.0,80.0,alto
PRD011,Tomates Cherry 500g,verduras,2025-08-17,75,2.1,48,6.9,15,Verduras Frescas,False,,2025-07-30,3.0,65.0,medio
PRD012,Chocolate negro 100g,panaderia,2025-08-09,95,2.8,80,11.4,7,Dulces & Choco,False,,2025-07-31,18.0,50.0,bajo
PRD013,Cerveza Artesanal 500ml,bebidas,2025-09-15,110,3.5,65,9.3,44,Cervecería La Artesanal,False,,2025-07-28,12.0,88.0,alto
PRD014,Fresas 250g,frutas,2025-08-16,130,2.9,90,12.9,14,Frutas Frescas,True,2.5,2025-07-31,4.0,60.0,bajo
PRD015,Agua Mineral 1.5L,bebidas,2025-08-24,180,0.65,110,15.7,22,AguaPura,False,,2025-07-26,10.0,80.0,bajo
PRD016,Chorizo Iberico 300g,carnes,2025-08-13,45,8.5,15,2.1,11,Carnes selectas,False,,2025-07-29,1.0,55.0,alto
PRD017,Pan Dulce 250g,panaderia,2025-08-03,170,2.2,125,17.9,1,Panaderia La Dulzura,False,,2025-08-01,22.0,55.0,bajo
PRD018,Naranja Navel 1kg,frutas,2025-08-14,90,1.4,55,7.9,12,Frutas y Verduras SA,False,,2025-07-27,4.0,65.0,bajo
PRD019,Cerveza Light 330ml,bebidas,2025-09-01,100,2.8,40,5.7,30,Cerveceria Artesanal,False,,2025-07-29,12.0,85.0,alto
P001,Manzanas Fuji,frutas,2025-08-31,120,2.5,35,5.0,29,Frutas del Valle,False,,2025-07-30,4.0,70.0,bajo
P002,Leche entera 1L,lacteos,2025-08-15,200,1.2,70,10.0,13,Lácteos Nacionales,True,1.0,2025-08-01,4.0,85.0,bajo
P003,Yogurt natural 125g,lacteos,2025-08-25,150,0.8,50,7.0,23,Dairy Fresh,False,,2025-07-29,4.0,80.0,bajo
P004,Tomates Roma,verduras,2025-08-05,80,1.5,20,3.0,3,Verduras del Sol,False,,2025-07-31,10.0,75.0,medio
P005,Carne de res filete 500g,carnes,2025-08-10,50,8.0,15,2.0,8,Carnes del Norte,False,,2025-07-30,2.0,65.0,alto
P006,Pan de caja integral 600g,panaderia,2025-08-07,100,3.0,40,6.0,5,Panaderías del Sol,True,2.5,2025-08-01,22.0,60.0,bajo
P007,Cerveza Lager 355ml,bebidas,2025-10-01,300,1.5,150,22.0,60,Bebidas Global,False,,2025-07-28,8.0,55.0,bajo
P008,Jugo de naranja 1L,bebidas,2025-08-12,180,1.8,55,8.0,10,Jugos del Valle,False,,2025-07-30,4.0,70.0,bajo
P009,Pepinos verdes,verduras,2025-08-04,60,0.9,12,2.0,2,Verduras Frescas,False,,2025-07-31,10.0,75.0,medio
P010,Queso gouda 200g,lacteos,2025-08-20,90,3.5,25,3.5,18,Quesos del Mundo,False,,2025-07-29,4.0,80.0,bajo
P011,Jamon cocido 250g,carnes,2025-08-14,70,4.0,10,1.5,12,Carnes Express,False,,2025-07-30,2.0,60.0,alto
P012,Refresco cola 600ml,bebidas,2025-08-09,250,1.2,120,17.0,7,Refrescos y Bebidas,True,1.0,2025-07-31,8.0,55.0,bajo
P013,Bananas maduras,frutas,2025-08-03,140,1.0,45,6.0,1,Bananas del Sol,False,,2025-07-31,4.0,70.0,bajo
P014,Pan francés 400g,panaderia,2025-08-06,90,2.8,30,4.0,4,Panaderías del Norte,False,,2025-07-29,22.0,60.0,bajo
P015,Agua mineral 1.5L,bebidas,2025-09-02,220,1.0,80,11.0,31,Aguas Purificadas,False,,2025-07-30,4.0,70.0,bajo
P016,Carne de pollo pechuga 1kg,carnes,2025-08-18,90,6.5,25,3.5,16,Pollo Rico,False,,2025-07-29,2.0,60.0,alto
P017,Jamon iberico 100g,carnes,2025-08-23,40,12.0,8,1.0,21,Delicatessen,False,,2025-07-29,4.0,80.0,alto
P018,Refresco limón 600ml,bebidas,2025-08-10,200,1.3,100,14.0,8,Refrescos y Bebidas,False,,2025-07-30,8.0,55.0,bajo
P019,Zanahorias 1kg,verduras,2025-08-04,70,1.2,16,2.5,2,Verduras Frescas,False,,2025-07-31,10.0,75.0,medio
P020,Queso crema 150g,lacteos,2025-08-19,110,2.8,30,4.0,17,Quesos del Mundo,False,,2025-07-29,4.0,80.0,bajo
PRD001,Manzanas Fuji,frutas,2025-08-25,120,1.2,50,7.1,23,Frutas del Valle,False,,2025-08-01,4.0,70.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-15,80,1.0,40,5.7,13,Lácteos de la Colina,True,0.8,2025-08-01,4.0,75.0,bajo
PRD003,Zanahorias,verduras,2025-08-28,200,0.5,70,10.0,26,Verduras del Sur,False,,2025-08-02,6.0,80.0,bajo
PRD004,Pechuga de Pollo,carnes,2025-08-10,50,5.0,25,3.6,8,Carne Viva,True,4.5,2025-08-01,2.0,65.0,alto
PRD005,Pan Integral,panaderia,2025-08-05,150,1.5,90,12.9,3,Panadería Las Delicias,False,,2025-08-02,22.0,50.0,medio
PRD006,Jugo de Naranja 500ml,bebidas,2025-08-20,180,2.0,65,9.3,18,Bebidas Tropicales,True,1.8,2025-08-01,8.0,60.0,bajo
PRD007,Yogurt Griego 150g,lacteos,2025-08-18,100,1.8,55,7.8,16,Lácteos de la Colina,False,,2025-08-02,4.0,70.0,bajo
PRD008,Filete de Ternera,carnes,2025-08-12,30,12.0,10,1.4,10,Carne Viva,False,,2025-07-31,2.0,60.0,alto
PRD009,Jamon Serrano 200g,carnes,2025-08-22,60,8.5,20,2.8,20,Embutidos La Española,True,7.5,2025-08-01,4.0,65.0,alto
PRD010,Galletas Saladas 200g,panaderia,2025-08-19,170,1.3,80,11.4,17,Panadería La Dulce Vida,False,,2025-08-02,22.0,55.0,medio
PRD011,Refresco Cola 330ml,bebidas,2025-08-17,210,1.0,75,10.7,15,Bebidas Tropicales,False,,2025-08-02,8.0,60.0,bajo
PRD012,Queso Gouda 200g,lacteos,2025-08-30,90,3.5,35,5.0,28,Lácteos del Valle,False,,2025-08-02,4.0,70.0,bajo
PRD013,Carne de Cerdo Asada,carnes,2025-08-11,40,9.0,12,1.7,9,Carne Viva,False,,2025-07-30,2.0,60.0,alto
PRD014,Pan Dulce,panaderia,2025-08-03,160,2.2,110,15.7,1,Panadería La Dulce Vida,False,,2025-08-02,22.0,55.0,medio
PRD015,Agua Mineral 1.5L,bebidas,2025-09-05,300,0.9,95,13.6,34,Bebidas Tropicales,False,,2025-08-02,8.0,60.0,bajo
PRD016,Chocolate Amargo 100g,panaderia,2025-08-29,130,2.5,45,6.4,27,Confitería Dulce Mundo,False,,2025-08-02,22.0,55.0,bajo
PRD017,Sandía,frutas,2025-08-26,140,3.0,60,8.6,24,Frutas del Valle,False,,2025-08-02,4.0,70.0,bajo
PRD018,Cerveza Artesanal 355ml,bebidas,2025-09-02,220,2.8,85,12.1,31,Bebidas Artesanales,False,,2025-08-02,8.0,60.0,bajo
PRD019,Café molido 250g,bebidas,2025-08-14,90,4.0,38,5.4,12,Café del Sol,False,,2025-08-02,22.0,55.0,bajo
PRD020,Refresco Limon 330ml,bebidas,2025-08-24,195,1.2,55,7.8,22,Bebidas Tropicales,False,,2025-08-02,8.0,60.0,bajo
P1001,Manzanas Fuji,frutas,2025-08-15,120,1.2,70,10.0,13,Frutas del Valle,False,,2025-07-31,4.0,75.0,bajo
P1002,Leche Entera 1L,lacteos,2025-08-10,85,0.9,60,8.5,8,Lácteos La Prensa,True,0.75,2025-07-31,4.0,80.0,bajo
P1003,Yogurt Natural 500g,lacteos,2025-08-22,150,1.0,55,7.9,20,Lácteos La Prensa,False,,2025-07-30,4.0,78.0,bajo
P1004,Pechuga de Pollo,carnes,2025-08-07,50,4.5,40,5.7,5,Carnes del Norte,True,4.0,2025-07-31,1.0,85.0,alto
P1005,Pan Integral 500g,panaderia,2025-08-04,200,1.5,100,14.3,2,Panadería La Dulce,False,,2025-07-31,22.0,60.0,bajo
P1006,Refresco Cola 2L,bebidas,2025-09-01,300,1.8,150,21.4,30,Bebidas Global,True,1.5,2025-07-31,8.0,55.0,medio
P1007,Manzanas Gala,frutas,2025-08-18,130,1.3,65,9.3,16,Frutas del Valle,False,,2025-07-29,4.0,72.0,bajo
P1008,Tomates Rojos 1kg,verduras,2025-08-09,90,2.0,55,8.2,7,Verduras del Sol,False,,2025-07-30,10.0,85.0,medio
P1009,Queso Gouda 250g,lacteos,2025-08-19,70,3.5,45,6.4,17,Lácteos La Prensa,False,,2025-07-28,4.0,76.0,bajo
P1010,Carne Molida 1kg,carnes,2025-08-05,60,5.0,30,4.3,3,Carnes del Norte,False,,2025-07-30,2.0,88.0,alto
P1011,Pan Blanco 700g,panaderia,2025-08-03,180,1.8,85,12.1,1,Panadería La Dulce,False,,2025-07-31,22.0,65.0,bajo
P1012,Jugo de Naranja 1L,bebidas,2025-08-20,220,2.2,140,20.0,18,Bebidas Global,False,,2025-07-30,8.0,60.0,medio
P1013,Zanahorias 1kg,verduras,2025-08-16,95,1.1,50,7.1,14,Verduras del Sol,False,,2025-07-29,10.0,85.0,medio
P1014,Batido de Chocolate 330ml,bebidas,2025-08-12,160,2.5,90,12.9,10,Bebidas Global,False,,2025-07-30,8.0,55.0,medio
P1015,Fresa 250g,frutas,2025-08-25,85,2.3,75,10.7,23,Frutas del Valle,False,,2025-07-28,4.0,73.0,bajo
P1016,Cerveza Lager 355ml,bebidas,2025-09-05,250,1.5,130,18.6,34,Bebidas Global,True,1.2,2025-07-31,10.0,65.0,medio
P1017,Huevo Blanco 12u,panaderia,2025-08-04,210,2.2,110,15.7,2,Huevos del Valle,False,,2025-07-30,5.0,70.0,bajo
P1018,Coca-Cola Zero 2L,bebidas,2025-09-10,340,2.0,165,23.6,39,Bebidas Global,False,,2025-07-31,8.0,60.0,medio
P1019,Zucchini 1kg,verduras,2025-08-14,80,1.4,45,6.4,12,Verduras del Sol,False,,2025-07-29,10.0,85.0,medio
PRD001,Manzanas Gala,frutas,2025-08-28,150,1.2,70,10.0,26,FreshFruits Co.,False,,2025-07-31,4.0,85.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-15,80,0.99,50,7.0,13,DairyBest Ltd.,True,0.89,2025-07-30,4.0,90.0,bajo
PRD003,Jamon Cocido 200g,carnes,2025-08-10,45,3.5,20,3.0,8,MeatProducers Inc.,False,,2025-07-28,2.0,75.0,medio
PRD004,Bananas,frutas,2025-08-25,200,0.5,180,25.0,23,Tropical Farms,False,,2025-08-01,4.0,88.0,bajo
PRD005,Yogurt Natural 150g,lacteos,2025-08-20,60,0.75,40,6.0,18,DairyBest Ltd.,False,,2025-07-29,4.0,90.0,bajo
PRD006,Filete de Pollo 1kg,carnes,2025-08-12,35,6.8,15,2.0,10,ChickenSupreme,True,6.0,2025-07-30,1.5,70.0,medio
PRD007,Pan Baguette 250g,panaderia,2025-08-04,120,1.0,90,13.0,2,Bakery Fresh,False,,2025-07-31,22.0,65.0,medio
PRD008,Refresco Cola 330ml,bebidas,2025-09-05,300,0.8,210,30.0,34,BeverageCo,False,,2025-08-01,8.0,70.0,bajo
PRD009,Queso Cheddar 200g,lacteos,2025-08-18,50,2.5,28,4.0,16,CheeseMakers,False,,2025-07-30,4.0,80.0,bajo
PRD010,Carne Molida 500g,carnes,2025-08-09,55,4.2,25,3.0,7,MeatProducers Inc.,False,,2025-07-29,2.0,78.0,medio
PRD011,Agua Mineral 1.5L,bebidas,2025-09-01,250,0.6,200,28.0,30,WaterWorld Ltd.,False,,2025-08-01,10.0,60.0,bajo
PRD012,Pan Integral 500g,panaderia,2025-08-06,100,2.5,85,12.0,4,Wholegrain Bakery,False,,2025-07-31,22.0,65.0,medio
PRD013,Zumo de Naranja 1L,bebidas,2025-08-20,130,1.8,90,13.0,18,CitrusSupply,True,1.5,2025-08-01,8.0,70.0,bajo
PRD014,Mermelada Fresa 250g,panaderia,2025-08-23,70,2.0,50,7.0,21,SweetTaste Ltd.,False,,2025-07-29,22.0,60.0,bajo
PRD015,Croissants 60g,panaderia,2025-08-04,110,1.2,85,12.0,2,Bakery Fresh,False,,2025-07-31,22.0,65.0,medio
PRD016,Refresco Limón 330ml,bebidas,2025-09-10,250,0.8,200,29.0,39,BeverageCo,True,0.7,2025-08-01,8.0,70.0,bajo
PRD017,Queso Mozzarella 250g,lacteos,2025-08-19,65,2.8,35,5.0,17,CheeseMakers,False,,2025-07-30,4.0,80.0,bajo
PRD018,Hamburguesa de Carne 150g,carnes,2025-08-11,40,4.5,18,2.5,9,MeatProducers Inc.,False,,2025-07-29,1.0,75.0,medio
PRD019,Agua de Sabor Limón 1L,bebidas,2025-08-31,220,1.1,160,22.0,29,FlavorBrew,False,,2025-08-01,9.0,65.0,bajo
PRD001,Manzanas Fuji,frutas,2025-08-31,120,1.2,50,7.1,29,AgroFruits Ltd.,False,,2025-07-31,4.0,85.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-12,80,0.99,30,4.3,10,DairyPure,True,0.89,2025-07-31,4.0,88.0,medio
PRD003,Bananas Grandes,frutas,2025-08-10,150,0.65,70,10.0,8,Tropical Farms,False,,2025-07-31,13.0,75.0,bajo
PRD004,Jamon Cocido 200g,carnes,2025-08-05,60,3.5,15,2.1,3,MeatPro,False,,2025-07-30,2.0,65.0,alto
PRD005,Pan Blanco 500g,panaderia,2025-08-02,200,1.0,90,12.9,0,Baker's Best,True,0.85,2025-07-31,22.0,70.0,bajo
PRD006,Agua Mineral 1.5L,bebidas,2025-08-25,300,0.5,150,21.4,23,Nature's Best,False,,2025-07-31,12.0,40.0,bajo
PRD007,Yogurt Natural 150g,lacteos,2025-08-20,90,0.8,25,3.6,18,DairyPure,False,,2025-07-30,4.0,85.0,medio
PRD008,Carne de Res 1kg,carnes,2025-08-07,40,15.0,12,1.7,5,Carnes del Sur,False,,2025-07-31,0.0,60.0,alto
PRD009,Bollo de Pan Integral,panaderia,2025-08-02,170,1.5,85,12.1,0,BakeMaster,False,,2025-07-31,22.0,65.0,bajo
PRD010,Refresco Cola 2L,bebidas,2025-09-10,250,1.8,120,17.1,39,FizzBeverages,False,,2025-07-31,10.0,50.0,bajo
PRD011,Queso Cheddar 200g,lacteos,2025-08-17,70,2.5,20,2.9,15,CheeseWorld,True,2.0,2025-07-30,4.0,85.0,medio
PRD012,Sandia 2kg,frutas,2025-08-25,100,3.0,55,7.9,23,Tropic Fruits,False,,2025-07-31,12.0,80.0,bajo
PRD013,Cerveza Artesanal 330ml,bebidas,2025-08-22,180,2.5,110,15.7,20,Craft Beverages,False,,2025-07-31,5.0,55.0,bajo
PRD014,Limones 1kg,frutas,2025-08-09,130,0.8,65,9.3,7,Citrus World,False,,2025-07-30,12.0,85.0,bajo
PRD015,Yogurt de Frutas 125g,lacteos,2025-08-19,85,1.2,22,3.1,17,DairyPlus,False,,2025-07-31,4.0,85.0,medio
PRD001,Manzanas Fuji,frutas,2025-08-15,120,1.2,60,8.5,13,Fruity Farms,False,,2025-08-01,4.0,80.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-20,200,0.99,150,22.0,18,DairyBest,True,0.89,2025-08-01,4.0,85.0,bajo
PRD003,Brocoli fresco,verduras,2025-08-09,85,1.75,45,6.4,7,Green Valley,False,,2025-08-02,2.0,70.0,medio
PRD004,Pechuga de pollo,carnes,2025-08-12,60,5.5,35,4.9,10,CarneSelect,False,,2025-07-31,0.0,60.0,alto
PRD005,Pan baguette,panaderia,2025-08-02,90,1.0,150,21.4,0,BakeHouse,True,0.8,2025-08-02,8.0,65.0,medio
PRD006,Jugos de naranja 1L,bebidas,2025-08-18,130,2.0,75,10.7,16,Citrus Co.,False,,2025-07-30,4.0,70.0,bajo
PRD007,Queso Gouda 200g,lacteos,2025-08-25,50,3.5,25,3.6,23,DairyPlus,False,,2025-07-31,4.0,80.0,bajo
PRD008,Carne de res molida 1kg,carnes,2025-08-10,40,12.0,30,4.3,8,ResFino,False,,2025-07-31,1.0,55.0,alto
PRD009,Zumo de piña 1L,bebidas,2025-08-22,100,2.5,90,12.9,20,TropicalJuice,False,,2025-07-29,4.0,75.0,bajo
PRD010,Fresa fresca 250g,frutas,2025-08-11,70,2.5,80,11.4,9,BerryGood,True,2.0,2025-08-01,4.0,85.0,bajo
PRD011,Pan dulce 400g,panaderia,2025-08-02,120,2.0,130,18.6,0,SweetBreads,False,,2025-08-02,8.0,60.0,medio
PRD012,Agua mineral 1.5L,bebidas,2025-09-01,150,0.8,160,22.9,30,AquaPure,False,,2025-07-28,4.0,70.0,bajo
PRD013,Yogurt natural 500g,lacteos,2025-08-17,90,1.5,85,12.1,15,DairyBest,False,,2025-07-30,4.0,85.0,bajo
PRD014,Cerveza Artesanal 330ml,bebidas,2025-09-10,110,3.0,50,7.1,39,CraftBrew,False,,2025-07-27,4.0,80.0,medio
PRD015,Verduras Mixtas 500g,verduras,2025-08-10,95,3.25,65,9.3,8,FreshFarm,False,,2025-07-31,2.0,70.0,medio
PRD001,Manzanas Gala,frutas,2025-08-20,150,1.2,90,12.9,18,AgroFresco,False,,2025-07-31,4.0,70.0,bajo
PRD002,Leche Entera 1L,lacteos,2025-08-10,200,1.0,130,18.6,8,LactoSupplies,True,0.8,2025-07-30,4.0,80.0,bajo
PRD003,Bananas Organic,frutas,2025-08-15,80,0.8,70,10.0,13,TropicalFarms,False,,2025-07-29,13.0,85.0,bajo
PRD004,Carne de Res,carnes,2025-08-05,60,8.5,40,5.7,3,Carnicería El Toro,False,,2025-07-28,2.0,60.0,alto
PRD005,Pan Blanco Tradicional,panaderia,2025-08-02,250,1.5,160,22.9,0,PanExpress,True,1.2,2025-07-30,22.0,75.0,medio
