producto_id,nombre_producto,categoria,fecha_caducidad,stock_actual,precio_unitario,sales_ultimos_7d,ventas_promedio_diaria,dias_hasta_caducidad,proveedor,en_promocion,precio_promocion,fecha_ultima_venta,temperatura_almacen,humedad_almacen,categoria_riesgo
PRD019,Refresco Naranja 330ml,bebidas,2020-08-24,230,1.09,217,28.84,27,Bebidas del Sol,False,,2020-07-28,12.89,60.04,bajo
PRD1001,Manzanas Gala,frutas,2020-08-15,129,1.08,50,6.61,16,Frutas del Valle,False,,2020-07-30,4.4,82.4,bajo
PRD1002,Leche Entera 1L,lacteos,2020-08-10,80,1.01,29,4.71,10,Lacteos La Central,True,0.89,2020-07-31,2.83,76.4,bajo
PRD1003,Tomates Rojos,verduras,2020-08-12,135,0.73,59,9.73,14,Verduras Frescas,False,,2020-07-29,5.86,76.18,medio
PRD1004,Filetes de Pollo,carnes,2020-08-09,42,4.96,21,3.4,9,Carne Rica,False,,2020-07-31,2.06,60.02,alto
PRD1005,Pan Integral 500g,panaderia,2020-08-05,182,2.04,92,14.04,5,Panaderia La Dulce,True,1.78,2020-07-31,20.82,60.86,bajo
PRD1006,Agua Mineral 1.5L,bebidas,2020-08-20,312,0.46,139,19.63,21,Bebidas Refrescantes,False,,2020-07-30,5.47,47.47,bajo
PRD1007,Yogurt Natural 150g,lacteos,2020-08-14,106,0.78,41,6.26,15,Lacteos La Central,False,,2020-07-30,3.91,78.56,bajo
PRD1008,Jamon Serrano 100g,carnes,2020-08-16,62,3.82,19,2.62,18,Delicias Ibéricas,False,,2020-07-29,0.0,51.16,alto
PRD1009,Refresco Cola 330ml,bebidas,2020-08-18,227,1.06,108,18.77,18,Bebidas Refrescantes,True,1.03,2020-07-31,4.05,69.85,bajo
PRD1010,Jamon Cocido 200g,carnes,2020-08-13,66,4.36,25,3.47,16,Delicias Ibéricas,False,,2020-07-28,0.0,47.66,alto
PRD1011,Pan de Molde 450g,panaderia,2020-08-07,165,2.34,80,11.09,8,Panaderia La Dulce,True,2.38,2020-07-30,22.32,54.72,bajo
PRD1012,Refresco Naranja 330ml,bebidas,2020-08-21,235,1.26,126,20.21,21,Bebidas Refrescantes,False,,2020-07-31,4.19,62.87,bajo
PRD1013,Queso Gouda 200g,lacteos,2020-08-19,96,2.63,32,5.3,20,Lacteos La Central,False,,2020-07-30,4.2,82.23,bajo
PRD1014,Carne Picada 500g,carnes,2020-08-17,54,5.98,21,3.0,19,Carne Rica,False,,2020-07-29,1.04,63.49,alto
PRD1015,Pan Baguette 250g,panaderia,2020-08-06,172,1.41,79,9.95,7,Panaderia La Dulce,False,,2020-07-30,20.37,55.38,bajo
PRD1016,Cerveza Lager 330ml,bebidas,2020-08-23,236,1.85,126,19.63,24,Bebidas Refrescantes,False,,2020-07-30,4.09,66.84,bajo
PRD1017,Yogurt con Frutas 150g,lacteos,2020-08-11,101,1.04,49,6.01,11,Lacteos La Central,False,,2020-07-31,4.09,76.87,bajo
PRD1018,Jamon York 150g,carnes,2020-08-10,63,3.55,20,2.46,11,Delicias Ibéricas,False,,2020-07-30,0.0,47.08,alto
PRD1019,Agua con Gas 500ml,bebidas,2020-08-25,313,0.86,154,22.59,26,Bebidas Refrescantes,False,,2020-07-30,5.14,53.34,bajo
PRD001,Manzanas Fuji,frutas,2020-08-20,123,1.27,77,10.83,19,Frutas del Valle,False,,2020-08-01,3.84,65.41,bajo
PRD002,Leche Entera 1L,lacteos,2020-08-15,90,0.95,65,8.25,16,Lacteos Santamaria,True,0.92,2020-07-30,4.81,73.73,bajo
PRD003,Yogurt Natural 150g,lacteos,2020-08-10,201,0.52,164,22.34,12,DairyFarm,False,,2020-07-29,4.35,75.77,bajo
PRD004,Broccoli Fresco,verduras,2020-08-18,59,2.15,37,5.09,18,Verduras Orgánicas,False,,2020-07-31,2.12,63.3,medio
PRD005,Pechuga de Pollo 1kg,carnes,2020-08-12,42,5.95,18,2.79,13,Carnes del Valle,True,5.35,2020-07-30,1.44,59.43,alto
PRD006,Pan Integral 500g,panaderia,2020-08-04,161,1.05,136,19.42,3,Panaderia La Huerta,False,,2020-08-01,23.81,55.88,bajo
PRD007,Jugo de Naranja 1L,bebidas,2020-08-25,63,2.17,52,8.66,29,Jugos del Sol,False,,2020-07-27,8.35,76.69,bajo
PRD008,Zanahorias 1kg,verduras,2020-08-19,94,1.37,57,8.32,21,Verduras La Huerta,True,1.25,2020-07-29,1.84,71.09,medio
PRD009,Queso Cheddar 200g,lacteos,2020-08-11,57,3.31,23,3.8,14,Quesos del Valle,False,,2020-07-28,4.2,76.78,bajo
PRD010,Bebida Energizante 330ml,bebidas,2020-09-05,96,2.54,48,6.98,41,EnergíaVital,False,,2020-07-26,10.35,78.54,alto
PRD011,Tomates Cherry 500g,verduras,2020-08-17,73,2.1,44,7.03,18,Verduras Frescas,False,,2020-07-30,3.27,70.92,medio
PRD012,Chocolate negro 100g,panaderia,2020-08-09,96,2.96,83,10.63,9,Dulces & Choco,False,,2020-07-31,16.51,54.98,bajo
PRD013,Cerveza Artesanal 500ml,bebidas,2020-09-15,117,3.78,69,8.49,49,Cervecería La Artesanal,False,,2020-07-28,11.67,90.32,alto
PRD014,Fresas 250g,frutas,2020-08-16,134,2.67,95,13.95,16,Frutas Frescas,True,2.69,2020-07-31,3.84,65.75,bajo
PRD015,Agua Mineral 1.5L,bebidas,2020-08-24,169,0.67,101,14.41,29,AguaPura,False,,2020-07-26,10.54,75.01,bajo
PRD016,Chorizo Iberico 300g,carnes,2020-08-13,46,8.86,15,2.01,15,Carnes selectas,False,,2020-07-29,0.96,54.53,alto
PRD017,Pan Dulce 250g,panaderia,2020-08-03,164,2.0,118,16.4,2,Panaderia La Dulzura,False,,2020-08-01,20.43,53.13,bajo
PRD018,Naranja Navel 1kg,frutas,2020-08-14,84,1.43,57,8.2,18,Frutas y Verduras SA,False,,2020-07-27,3.8,61.08,bajo
PRD019,Cerveza Light 330ml,bebidas,2020-09-01,99,2.8,39,5.41,34,Cerveceria Artesanal,False,,2020-07-29,12.85,88.24,alto
P001,Manzanas Fuji,frutas,2020-08-31,112,2.45,32,5.46,32,Frutas del Valle,False,,2020-07-30,3.83,70.53,bajo
P002,Leche entera 1L,lacteos,2020-08-15,186,1.19,73,10.58,14,Lácteos Nacionales,True,1.05,2020-08-01,4.02,87.28,bajo
P003,Yogurt natural 125g,lacteos,2020-08-25,161,0.83,51,7.64,27,Dairy Fresh,False,,2020-07-29,4.15,85.14,bajo
P004,Tomates Roma,verduras,2020-08-05,87,1.44,18,3.13,5,Verduras del Sol,False,,2020-07-31,9.93,68.34,medio
P005,Carne de res filete 500g,carnes,2020-08-10,50,8.36,14,1.92,11,Carnes del Norte,False,,2020-07-30,2.09,62.07,alto
P006,Pan de caja integral 600g,panaderia,2020-08-07,96,2.98,42,5.6,6,Panaderías del Sol,True,2.36,2020-08-01,21.9,62.2,bajo
P007,Cerveza Lager 355ml,bebidas,2020-10-01,321,1.35,159,21.27,65,Bebidas Global,False,,2020-07-28,8.57,59.49,bajo
P008,Jugo de naranja 1L,bebidas,2020-08-12,184,1.95,52,8.59,13,Jugos del Valle,False,,2020-07-30,3.67,69.37,bajo
P009,Pepinos verdes,verduras,2020-08-04,62,0.98,12,1.92,4,Verduras Frescas,False,,2020-07-31,10.86,75.36,medio
P010,Queso gouda 200g,lacteos,2020-08-20,81,3.5,25,3.62,22,Quesos del Mundo,False,,2020-07-29,3.62,81.77,bajo
P011,Jamon cocido 250g,carnes,2020-08-14,69,4.36,10,1.64,15,Carnes Express,False,,2020-07-30,2.13,65.63,alto
P012,Refresco cola 600ml,bebidas,2020-08-09,265,1.32,130,17.06,9,Refrescos y Bebidas,True,1.07,2020-07-31,7.73,51.17,bajo
P013,Bananas maduras,frutas,2020-08-03,134,0.97,44,5.44,3,Bananas del Sol,False,,2020-07-31,3.94,68.58,bajo
P014,Pan francés 400g,panaderia,2020-08-06,92,2.78,27,3.83,8,Panaderías del Norte,False,,2020-07-29,22.49,58.79,bajo
P015,Agua mineral 1.5L,bebidas,2020-09-02,214,0.95,86,10.33,34,Aguas Purificadas,False,,2020-07-30,4.32,69.18,bajo
P016,Carne de pollo pechuga 1kg,carnes,2020-08-18,82,7.15,25,3.17,20,Pollo Rico,False,,2020-07-29,1.93,59.1,alto
P017,Jamon iberico 100g,carnes,2020-08-23,36,10.92,7,1.0,25,Delicatessen,False,,2020-07-29,4.34,84.69,alto
P018,Refresco limón 600ml,bebidas,2020-08-10,190,1.3,93,13.89,11,Refrescos y Bebidas,False,,2020-07-30,8.43,58.59,bajo
P019,Zanahorias 1kg,verduras,2020-08-04,72,1.25,15,2.54,4,Verduras Frescas,False,,2020-07-31,9.71,75.38,medio
P020,Queso crema 150g,lacteos,2020-08-19,106,2.58,29,3.86,21,Quesos del Mundo,False,,2020-07-29,3.95,81.45,bajo
PRD001,Manzanas Fuji,frutas,2020-08-25,124,1.21,54,7.48,24,Frutas del Valle,False,,2020-08-01,4.34,70.85,bajo
PRD002,Leche Entera 1L,lacteos,2020-08-15,82,1.08,38,5.66,14,Lácteos de la Colina,True,0.77,2020-08-01,4.17,75.2,bajo
PRD003,Zanahorias,verduras,2020-08-28,194,0.49,70,9.21,26,Verduras del Sur,False,,2020-08-02,6.15,76.54,bajo
PRD004,Pechuga de Pollo,carnes,2020-08-10,51,4.96,22,3.24,9,Carne Viva,True,4.69,2020-08-01,2.05,66.36,alto
PRD005,Pan Integral,panaderia,2020-08-05,144,1.51,84,12.59,3,Panadería Las Delicias,False,,2020-08-02,23.53,45.48,medio
PRD006,Jugo de Naranja 500ml,bebidas,2020-08-20,173,2.02,62,10.15,19,Bebidas Tropicales,True,1.69,2020-08-01,8.61,55.56,bajo
PRD007,Yogurt Griego 150g,lacteos,2020-08-18,109,1.94,51,7.54,16,Lácteos de la Colina,False,,2020-08-02,4.32,70.39,bajo
PRD008,Filete de Ternera,carnes,2020-08-12,27,12.21,9,1.4,12,Carne Viva,False,,2020-07-31,2.03,63.5,alto
PRD009,Jamon Serrano 200g,carnes,2020-08-22,64,9.18,18,2.88,21,Embutidos La Española,True,6.83,2020-08-01,4.39,64.95,alto
PRD010,Galletas Saladas 200g,panaderia,2020-08-19,184,1.2,77,11.09,17,Panadería La Dulce Vida,False,,2020-08-02,20.27,60.33,medio
PRD011,Refresco Cola 330ml,bebidas,2020-08-17,219,0.97,72,11.18,15,Bebidas Tropicales,False,,2020-08-02,8.67,58.11,bajo
PRD012,Queso Gouda 200g,lacteos,2020-08-30,83,3.32,38,5.1,28,Lácteos del Valle,False,,2020-08-02,4.13,70.49,bajo
PRD013,Carne de Cerdo Asada,carnes,2020-08-11,37,9.71,11,1.73,12,Carne Viva,False,,2020-07-30,1.93,64.96,alto
PRD014,Pan Dulce,panaderia,2020-08-03,164,2.18,102,14.56,1,Panadería La Dulce Vida,False,,2020-08-02,21.72,52.08,medio
PRD015,Agua Mineral 1.5L,bebidas,2020-09-05,272,0.84,99,13.85,34,Bebidas Tropicales,False,,2020-08-02,8.65,65.51,bajo
PRD016,Chocolate Amargo 100g,panaderia,2020-08-29,126,2.34,41,6.6,27,Confitería Dulce Mundo,False,,2020-08-02,21.4,59.06,bajo
PRD017,Sandía,frutas,2020-08-26,150,3.23,56,9.42,24,Frutas del Valle,False,,2020-08-02,3.99,68.35,bajo
PRD018,Cerveza Artesanal 355ml,bebidas,2020-09-02,209,2.8,79,12.62,31,Bebidas Artesanales,False,,2020-08-02,7.79,62.93,bajo
PRD019,Café molido 250g,bebidas,2020-08-14,91,4.37,34,5.64,12,Café del Sol,False,,2020-08-02,21.51,55.76,bajo
PRD020,Refresco Limon 330ml,bebidas,2020-08-24,181,1.28,55,8.36,22,Bebidas Tropicales,False,,2020-08-02,8.46,65.08,bajo
P1001,Manzanas Fuji,frutas,2020-08-15,116,1.28,69,9.63,15,Frutas del Valle,False,,2020-07-31,3.97,81.98,bajo
P1002,Leche Entera 1L,lacteos,2020-08-10,80,0.86,60,8.06,10,Lácteos La Prensa,True,0.8,2020-07-31,3.84,75.31,bajo
P1003,Yogurt Natural 500g,lacteos,2020-08-22,164,0.99,58,7.51,23,Lácteos La Prensa,False,,2020-07-30,3.76,82.84,bajo
P1004,Pechuga de Pollo,carnes,2020-08-07,54,4.38,37,6.2,7,Carnes del Norte,True,3.66,2020-07-31,1.1,78.98,alto
P1005,Pan Integral 500g,panaderia,2020-08-04,181,1.55,105,13.21,4,Panadería La Dulce,False,,2020-07-31,23.39,58.71,bajo
P1006,Refresco Cola 2L,bebidas,2020-09-01,317,1.9,136,19.97,32,Bebidas Global,True,1.44,2020-07-31,7.89,57.96,medio
P1007,Manzanas Gala,frutas,2020-08-18,124,1.36,63,9.67,20,Frutas del Valle,False,,2020-07-29,3.68,72.15,bajo
P1008,Tomates Rojos 1kg,verduras,2020-08-09,85,2.0,52,8.27,10,Verduras del Sol,False,,2020-07-30,9.35,81.9,medio
P1009,Queso Gouda 250g,lacteos,2020-08-19,73,3.85,43,5.81,22,Lácteos La Prensa,False,,2020-07-28,3.78,83.6,bajo
P1010,Carne Molida 1kg,carnes,2020-08-05,60,5.15,31,4.33,6,Carnes del Norte,False,,2020-07-30,2.15,86.04,alto
P1011,Pan Blanco 700g,panaderia,2020-08-03,164,1.93,80,13.11,3,Panadería La Dulce,False,,2020-07-31,20.55,64.79,bajo
P1012,Jugo de Naranja 1L,bebidas,2020-08-20,223,2.07,129,19.7,21,Bebidas Global,False,,2020-07-30,7.38,58.55,medio
P1013,Zanahorias 1kg,verduras,2020-08-16,96,1.11,53,7.58,18,Verduras del Sol,False,,2020-07-29,10.46,92.04,medio
P1014,Batido de Chocolate 330ml,bebidas,2020-08-12,149,2.46,86,12.67,13,Bebidas Global,False,,2020-07-30,8.25,49.66,medio
P1015,Fresa 250g,frutas,2020-08-25,79,2.43,82,11.14,28,Frutas del Valle,False,,2020-07-28,4.22,79.75,bajo
P1016,Cerveza Lager 355ml,bebidas,2020-09-05,272,1.62,132,20.25,36,Bebidas Global,True,1.32,2020-07-31,9.81,64.59,medio
P1017,Huevo Blanco 12u,panaderia,2020-08-04,209,2.35,117,16.24,5,Huevos del Valle,False,,2020-07-30,4.69,72.58,bajo
P1018,Coca-Cola Zero 2L,bebidas,2020-09-10,306,2.04,176,23.83,41,Bebidas Global,False,,2020-07-31,8.66,56.95,medio
P1019,Zucchini 1kg,verduras,2020-08-14,87,1.51,46,6.91,16,Verduras del Sol,False,,2020-07-29,9.3,84.54,medio
PRD001,Manzanas Gala,frutas,2020-08-28,135,1.27,64,10.18,28,FreshFruits Co.,False,,2020-07-31,3.99,85.47,bajo
PRD002,Leche Entera 1L,lacteos,2020-08-15,73,1.07,48,7.19,16,DairyBest Ltd.,True,0.85,2020-07-30,3.67,95.48,bajo
PRD003,Jamon Cocido 200g,carnes,2020-08-10,45,3.6,20,3.28,13,MeatProducers Inc.,False,,2020-07-28,1.81,79.96,medio
PRD004,Bananas,frutas,2020-08-25,190,0.51,172,23.51,24,Tropical Farms,False,,2020-08-01,3.93,88.3,bajo
PRD005,Yogurt Natural 150g,lacteos,2020-08-20,58,0.75,38,6.17,22,DairyBest Ltd.,False,,2020-07-29,4.07,87.71,bajo
PRD006,Filete de Pollo 1kg,carnes,2020-08-12,33,6.75,15,2.15,13,ChickenSupreme,True,6.18,2020-07-30,1.64,75.86,medio
PRD007,Pan Baguette 250g,panaderia,2020-08-04,112,1.01,97,12.22,4,Bakery Fresh,False,,2020-07-31,21.86,61.13,medio
PRD008,Refresco Cola 330ml,bebidas,2020-09-05,299,0.87,207,31.13,35,BeverageCo,False,,2020-08-01,8.26,70.05,bajo
PRD009,Queso Cheddar 200g,lacteos,2020-08-18,52,2.71,26,3.98,19,CheeseMakers,False,,2020-07-30,3.66,81.87,bajo
PRD010,Carne Molida 500g,carnes,2020-08-09,51,4.44,27,2.98,11,MeatProducers Inc.,False,,2020-07-29,2.0,83.73,medio
PRD011,Agua Mineral 1.5L,bebidas,2020-09-01,225,0.55,193,30.46,31,WaterWorld Ltd.,False,,2020-08-01,9.2,54.32,bajo
PRD012,Pan Integral 500g,panaderia,2020-08-06,109,2.48,92,11.52,6,Wholegrain Bakery,False,,2020-07-31,21.6,60.35,medio
PRD013,Zumo de Naranja 1L,bebidas,2020-08-20,120,1.78,88,13.22,19,CitrusSupply,True,1.46,2020-08-01,8.75,74.52,bajo
PRD014,Mermelada Fresa 250g,panaderia,2020-08-23,73,1.89,46,7.0,25,SweetTaste Ltd.,False,,2020-07-29,24.16,60.9,bajo
PRD015,Croissants 60g,panaderia,2020-08-04,104,1.21,91,11.07,4,Bakery Fresh,False,,2020-07-31,23.33,69.32,medio
PRD016,Refresco Limón 330ml,bebidas,2020-09-10,245,0.84,191,27.49,40,BeverageCo,True,0.66,2020-08-01,8.75,68.74,bajo
PRD017,Queso Mozzarella 250g,lacteos,2020-08-19,70,2.88,32,4.57,20,CheeseMakers,False,,2020-07-30,3.72,73.51,bajo
PRD018,Hamburguesa de Carne 150g,carnes,2020-08-11,42,4.06,18,2.63,13,MeatProducers Inc.,False,,2020-07-29,1.03,78.87,medio
PRD019,Agua de Sabor Limón 1L,bebidas,2020-08-31,233,1.21,159,23.06,30,FlavorBrew,False,,2020-08-01,9.48,69.84,bajo
PRD001,Manzanas Fuji,frutas,2020-08-31,111,1.11,54,6.87,31,AgroFruits Ltd.,False,,2020-07-31,4.39,89.56,bajo
PRD002,Leche Entera 1L,lacteos,2020-08-12,86,0.97,29,4.37,12,DairyPure,True,0.95,2020-07-31,4.02,80.68,medio
PRD003,Bananas Grandes,frutas,2020-08-10,160,0.62,65,9.92,10,Tropical Farms,False,,2020-07-31,12.11,71.72,bajo
PRD004,Jamon Cocido 200g,carnes,2020-08-05,62,3.64,14,1.95,6,MeatPro,False,,2020-07-30,1.98,70.44,alto
PRD005,Pan Blanco 500g,panaderia,2020-08-02,196,0.91,90,12.44,2,Baker's Best,True,0.83,2020-07-31,23.79,76.7,bajo
PRD006,Agua Mineral 1.5L,bebidas,2020-08-25,284,0.45,135,22.96,25,Nature's Best,False,,2020-07-31,11.59,43.45,bajo
PRD007,Yogurt Natural 150g,lacteos,2020-08-20,89,0.88,22,3.59,21,DairyPure,False,,2020-07-30,3.71,89.81,medio
PRD008,Carne de Res 1kg,carnes,2020-08-07,38,15.82,12,1.67,7,Carnes del Sur,False,,2020-07-31,0.0,59.97,alto
PRD009,Bollo de Pan Integral,panaderia,2020-08-02,185,1.58,83,11.83,2,BakeMaster,False,,2020-07-31,20.28,70.23,bajo
PRD010,Refresco Cola 2L,bebidas,2020-09-10,247,1.97,109,16.5,41,FizzBeverages,False,,2020-07-31,10.14,47.11,bajo
PRD011,Queso Cheddar 200g,lacteos,2020-08-17,67,2.34,20,2.71,18,CheeseWorld,True,1.97,2020-07-30,4.27,86.17,medio
PRD012,Sandia 2kg,frutas,2020-08-25,108,3.23,52,7.58,25,Tropic Fruits,False,,2020-07-31,11.4,83.94,bajo
PRD013,Cerveza Artesanal 330ml,bebidas,2020-08-22,177,2.38,111,16.09,22,Craft Beverages,False,,2020-07-31,5.41,60.36,bajo
PRD014,Limones 1kg,frutas,2020-08-09,125,0.75,66,9.48,10,Citrus World,False,,2020-07-30,11.61,80.14,bajo
PRD015,Yogurt de Frutas 125g,lacteos,2020-08-19,81,1.2,23,2.84,19,DairyPlus,False,,2020-07-31,4.0,90.73,medio
PRD001,Manzanas Fuji,frutas,2020-08-15,108,1.24,59,7.95,14,Fruity Farms,False,,2020-08-01,4.37,85.7,bajo
PRD002,Leche Entera 1L,lacteos,2020-08-20,205,1.05,161,23.69,19,DairyBest,True,0.87,2020-08-01,3.63,91.88,bajo
PRD003,Brocoli fresco,verduras,2020-08-09,82,1.66,45,6.46,7,Green Valley,False,,2020-08-02,1.96,65.52,medio
PRD004,Pechuga de pollo,carnes,2020-08-12,65,5.13,33,5.28,12,CarneSelect,False,,2020-07-31,0.0,64.43,alto
PRD005,Pan baguette,panaderia,2020-08-02,84,0.91,137,22.56,0,BakeHouse,True,0.78,2020-08-02,8.59,65.05,medio
PRD006,Jugos de naranja 1L,bebidas,2020-08-18,125,1.89,75,10.29,19,Citrus Co.,False,,2020-07-30,3.6,68.93,bajo
PRD007,Queso Gouda 200g,lacteos,2020-08-25,50,3.78,26,3.91,25,DairyPlus,False,,2020-07-31,3.84,76.37,bajo
PRD008,Carne de res molida 1kg,carnes,2020-08-10,39,12.56,30,4.56,10,ResFino,False,,2020-07-31,0.95,59.94,alto
PRD009,Zumo de piña 1L,bebidas,2020-08-22,94,2.49,85,13.38,24,TropicalJuice,False,,2020-07-29,3.69,70.6,bajo
PRD010,Fresa fresca 250g,frutas,2020-08-11,73,2.37,87,10.3,10,BerryGood,True,2.16,2020-08-01,3.91,93.17,bajo
PRD011,Pan dulce 400g,panaderia,2020-08-02,119,1.88,139,20.16,0,SweetBreads,False,,2020-08-02,7.58,55.86,medio
PRD012,Agua mineral 1.5L,bebidas,2020-09-01,160,0.82,160,23.53,35,AquaPure,False,,2020-07-28,3.66,71.91,bajo
PRD013,Yogurt natural 500g,lacteos,2020-08-17,89,1.37,83,11.82,18,DairyBest,False,,2020-07-30,4.1,80.87,bajo
PRD014,Cerveza Artesanal 330ml,bebidas,2020-09-10,100,3.24,53,7.04,45,CraftBrew,False,,2020-07-27,3.7,72.88,medio
PRD015,Verduras Mixtas 500g,verduras,2020-08-10,101,3.33,59,9.29,10,FreshFarm,False,,2020-07-31,2.15,74.06,medio
PRD001,Manzanas Gala,frutas,2020-08-20,135,1.25,91,12.92,20,AgroFresco,False,,2020-07-31,4.17,63.91,bajo
PRD002,Leche Entera 1L,lacteos,2020-08-10,181,1.04,140,17.92,11,LactoSupplies,True,0.86,2020-07-30,4.27,79.29,bajo
PRD003,Bananas Organic,frutas,2020-08-15,77,0.77,74,10.7,17,TropicalFarms,False,,2020-07-29,13.68,77.9,bajo
PRD004,Carne de Res,carnes,2020-08-05,60,8.32,37,5.74,8,Carnicería El Toro,False,,2020-07-28,1.84,62.22,alto
PRD005,Pan Blanco Tradicional,panaderia,2020-08-02,262,1.4,150,23.81,3,PanExpress,True,1.17,2020-07-30,22.84,77.22,medio
